source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
ELRD96GN3WE3BCYP,1,0,0,1,1,1,3,4.0,75.0
ELRD96GNBBBDEHEZ,1,5,1,2,2,8,18,3.389,59.725
ELRD96GNDQZ9RGM2,1,1,0,0,2,0,3,3.0,50.0
ELRD96GNGFZCZANN,1,1,0,1,0,2,4,3.5,62.5
ELRD9N8XDU2ZGZCC,1,3,3,1,4,13,24,3.875,71.875
ELRD9N8XEHA83UU9,1,3,2,0,2,5,12,3.333,58.325
ELRD9N8XHDU9UUU6,1,110,35,83,25,80,333,2.79,44.75
ELRDAWTYETDNQQJ8,1,4,2,2,1,1,10,2.3,32.5
ELRDFQRBZQ2H6EHG,1,50,22,60,16,58,206,3.049,51.225
ELRDFRSER7DGT47F,1,3,0,1,1,1,6,2.5,37.5
ELRDJEXRH2K7FVJU,1,24,4,3,4,16,51,2.686,42.15
ELRDVGSZCGZWZFJF,1,10,0,2,0,4,16,2.25,31.25
ELRDY6ERAHHSFR68,1,6,3,2,4,13,28,3.536,63.4
ELRDYRGCUKCTCZCD,1,3,1,0,3,4,11,3.364,59.1
ELRE292ZT9MHHPFM,1,1,1,1,0,1,4,2.75,43.75
ELRE2GV3HWH68YSB,1,1,0,0,0,3,4,4.0,75.0
ELRE3FHHJYYGETGX,1,5,2,3,2,10,22,3.455,61.375
ELRE3H54JRHDFGWW,1,10,4,3,12,24,53,3.679,66.975
ELRE3JGGTEPVPNSW,1,3,0,2,3,6,14,3.643,66.075
ELRE4BDBBDBU3UBC,1,0,1,1,2,4,8,4.125,78.125
ELRE4BR5FD2ZVGSD,1,4,1,0,2,3,10,2.9,47.5
ELRE5FCYGGN6GF2Q,1,0,0,1,2,3,6,4.333,83.325
ELRE5GM8HMJGJXKU,1,4,1,4,6,13,28,3.821,70.525
ELRE5GZFTXFZVNQM,1,6,2,2,12,12,34,3.647,66.175
ELRE5HG6XZHXXMGW,1,8,2,1,2,1,14,2.0,25.0
ELRE5HYGHEEUHCVM,1,0,0,0,1,2,3,4.667,91.675
ELRE65WVKED7HMTB,1,1,0,1,2,1,5,3.4,60.0
ELRE6YVNFHGBMH8A,1,11,6,5,15,25,62,3.597,64.925
ELRE74H9B3FF22ZG,1,0,0,0,1,5,6,4.833,95.825
ELRE7FYTHGKBS6WM,1,1,0,1,1,1,4,3.25,56.25
ELRE7GTGW5QYYAYR,1,1,0,0,1,2,4,3.75,68.75
ELRE7SVEFZBB2KFM,1,9,5,9,18,21,62,3.597,64.925
ELRE8VSEETDPUYEW,1,0,0,0,2,2,4,4.5,87.5
ELRE955HEQZ7RHX6,1,0,0,0,0,4,4,5.0,100.0
ELRE9ZVQBD6MTBHY,1,1,0,2,3,3,9,3.778,69.45
ELRE9ZY5WBPEGSBT,1,10,2,1,1,2,16,1.938,23.45
ELREAG4DE8CPWFZG,1,4,0,1,1,3,9,2.889,47.225
ELREAHMTMMGVK45H,1,0,0,0,1,4,5,4.8,95.0
ELREAN42BJEGZH3Y,1,5,1,8,11,26,51,4.02,75.5
ELREANM6323HFX5A,1,10,2,1,3,7,23,2.783,44.575
ELREAZU5CHCVQYGV,1,1,0,0,0,0,1,1.0,0.0
ELREB56QH4T7EUNQ,1,7,3,5,9,19,43,3.698,67.45
ELREBFDW4JYTBCMH,1,2,0,1,1,2,6,3.167,54.175
ELREBFGHQFZF9RCS,1,0,1,0,1,0,2,3.0,50.0
ELREBHYYTMQBRBWF,1,2,1,0,1,1,5,2.6,40.0
ELREBPZ5MSHHTSDA,1,0,1,0,0,0,1,2.0,25.0
ELREBYMXEZKBXKAF,1,0,0,2,1,1,4,3.75,68.75
ELRECD9KJTHJS626,1,7,4,3,10,16,40,3.6,65.0
ELREDZHY53M4DXK4,1,4,1,2,2,11,20,3.75,68.75
ELREDZYSNFSMM6GJ,1,3,0,0,2,9,14,4.0,75.0
ELREE9B7PKHDMCZZ,1,1,0,0,4,2,7,3.857,71.425
ELREEDEGCHFMMWAX,1,4,1,3,4,7,19,3.474,61.85
ELREEH82G7QWGFAP,1,3,0,1,1,3,8,3.125,53.125
ELREEHHB37RYPNG6,1,1,2,2,9,4,18,3.722,68.05
ELREENEMKF9BFZ2G,1,0,0,1,2,2,5,4.2,80.0
ELREF7FPUEGJGTGQ,1,3,1,2,2,1,9,2.667,41.675
ELREF7MG2ZQYFBRA,1,0,1,0,1,0,2,3.0,50.0
ELREF7MGMKYWSRWY,1,1,0,1,0,1,3,3.0,50.0
ELREF7MGP4CZHGFZ,1,0,0,1,1,0,2,3.5,62.5
ELREFAS435J9EXHH,1,0,0,0,0,2,2,5.0,100.0
ELREFBFETY9YZY4T,1,15,9,3,9,21,57,3.211,55.275
ELREFBYEYCYEXMTT,1,2,0,1,0,1,4,2.5,37.5
ELREFD84FYYMGZT8,1,6,2,5,6,17,36,3.722,68.05
ELREFDTFHZXBA6TH,1,1,2,5,8,18,34,4.176,79.4
ELREFE2P5TH8MHZX,1,0,0,0,0,1,1,5.0,100.0
ELREFE2PZADZHGQG,1,5,0,0,0,2,7,2.143,28.575
ELREFE2ZC8XU8TZH,1,30,10,20,12,28,100,2.98,49.5
ELREFGPXD83UHMBW,1,5,0,7,4,9,25,3.48,62.0
ELREFN9E3SF5AHAR,1,53,29,64,21,50,217,2.935,48.375
ELREFN9EGXUVUT5Z,1,23,18,31,21,39,132,3.265,56.625
ELREFN9FH5ET3E4M,1,0,1,0,1,1,3,3.667,66.675
ELREFWW98HTTPHFQ,1,1,0,2,3,4,10,3.9,72.5
ELREFWW9VBVPYQJK,1,5,0,3,2,3,13,2.846,46.15
ELREFXZPRZRPZE82,1,1,0,0,0,1,2,3.0,50.0
ELREGDV8ZZTBBK9R,1,0,0,1,0,1,2,4.0,75.0
ELREGHDTF4WUQNA6,1,3,0,0,0,3,6,3.0,50.0
ELREGNFQFBR2SXGR,1,0,1,0,0,2,3,4.0,75.0
ELREGNRVFVFHVFTM,1,1,0,0,1,4,6,4.167,79.175
ELREGP3W2GZKK4HW,1,7,2,4,10,23,46,3.87,71.75
ELREGW3CVZSYFUZZ,1,3,1,3,10,11,28,3.893,72.325
ELREH537AASZA5ZZ,1,4,1,2,10,15,32,3.969,74.225
ELREH6N6UG3W3WSE,1,2,0,0,0,5,7,3.857,71.425
ELREHK4TWBNYHS7S,1,10,1,3,6,17,37,3.514,62.85
ELREHVWEHRHZ687D,1,2,0,0,1,2,5,3.2,55.0
ELREJ4MBKKJVGHQJ,1,9,7,13,13,15,57,3.316,57.9
ELREJCDB6HC7RSSQ,1,2,0,0,1,4,7,3.714,67.85
ELREJJCB8ZCYFUTC,1,25,2,17,18,36,98,3.388,59.7
ELREK34AZWZ2D2HN,1,8,2,7,14,18,49,3.653,66.325
ELREKU7NHEGCNY2K,1,4,2,0,0,0,6,1.333,8.325
ELREKYPACHHZBHAT,1,2,0,0,1,0,3,2.0,25.0
ELREM2D86QRYHR4W,1,17,2,7,11,14,51,3.059,51.475
ELREM6V4K7S7FFEE,1,1,0,3,2,4,10,3.8,70.0
ELREMUESCCHSQBGP,1,12,3,9,9,18,51,3.353,58.825
ELREY2FKUAAYKEDY,1,9,7,10,16,22,64,3.547,63.675
ELREYGVRCHRWUTHN,1,0,1,1,0,1,3,3.333,58.325
ESDD96FECZDYCX89,1,1,0,0,0,1,2,3.0,50.0
ESDD96FET2NSGRJR,1,0,0,6,8,10,24,4.167,79.175
ESDDAWTPYJKM7GH3,1,2,0,2,1,0,5,2.4,35.0
ESDDQSZW7CZHY3DY,1,0,0,0,4,2,6,4.333,83.325
ESDDYHCTDJTDBJTQ,1,1,0,0,0,0,1,1.0,0.0
ESDE2UYYSPWMSZU2,1,0,1,0,0,1,2,3.5,62.5
ESDE526RZZKAW8QB,1,2,1,1,1,7,12,3.833,70.825
ESDE5MFDACSHDEHR,1,13,2,2,4,7,28,2.643,41.075
ESDE6GFTRMCZXJHV,1,1,0,0,0,2,3,3.667,66.675
ESDE6P4HHZYMGSUY,1,0,0,0,2,3,5,4.6,90.0
ESDE6TJUPDRX78YZ,1,0,0,1,2,5,8,4.5,87.5
ESDE6VTRVWHSSGFX,1,0,0,1,2,0,3,3.667,66.675
ESDE6VTRXGFWVHGD,1,0,0,0,1,1,2,4.5,87.5
ESDE8ZGJVJQEJAFW,1,4,3,2,19,25,53,4.094,77.35
ESDEAEHFA3XERZHF,1,1,0,0,0,1,2,3.0,50.0
ESDEAMHPSMPVSP4J,1,1,0,0,0,0,1,1.0,0.0
ESDEBHBJ2WQJKXZU,1,1,1,1,5,10,18,4.222,80.55
ESDECH27HYGZSTY8,1,5,2,1,3,6,17,3.176,54.4
ESDEE9HF7FWRGCKH,1,0,0,1,5,2,8,4.125,78.125
ESDEGG42VTP9G9HN,1,0,0,0,1,1,2,4.5,87.5
ESDEGGQ4TTHSSPV2,1,1,1,0,1,1,4,3.0,50.0
ESDEHK52W2J86AZC,1,10,4,8,12,19,53,3.491,62.275
ESDEKTTC85Y6ZTYQ,1,10,1,16,17,24,68,3.647,66.175
KJLD96JH4PEKQEXA,1,11,2,3,4,7,27,2.778,44.45
KJLD96JH8PNZZYWU,1,2,1,0,1,0,4,2.0,25.0
KJLD96JHVMTKUAWB,1,6,3,6,8,17,40,3.675,66.875
KJLD96JHZRXJWPED,1,20,11,14,21,44,110,3.527,63.175
KJLD9N9FJM2WCRFN,1,1,1,2,1,4,9,3.667,66.675
KJLDADR2RVFGEFY4,1,88,32,44,27,49,240,2.654,41.35
KJLDAWUN54UUHDYG,1,0,1,2,3,0,6,3.333,58.325
KJLDCPSA9YCEHE9D,1,4,0,1,0,4,9,3.0,50.0
KJLDP2BTRVZYHGZE,1,7,3,3,2,10,25,3.2,55.0
KJLDQX983DGXDFG8,1,64,26,28,17,47,182,2.764,44.1
KJLDREHHDNEGQGFW,1,3,1,1,6,5,16,3.563,64.075
KJLDRG34G6PRGGUU,1,76,31,49,26,74,256,2.965,49.125
KJLDU84SJ4SYGKZ2,1,6,0,2,0,5,13,2.846,46.15
KJLDVFHAFN7GNU6B,1,26,6,6,28,33,99,3.364,59.1
KJLDY8HBZQNYZZNT,1,10,4,4,10,24,52,3.654,66.35
KJLDYR464WH68GNY,1,7,1,2,3,8,21,3.19,54.75
KJLDZY7J5KBFZBRR,1,0,0,0,1,2,3,4.667,91.675
KJLE292Z7JKP6BER,1,3,1,1,1,1,7,2.429,35.725
KJLE2DAJUF7KADCQ,1,110,31,60,16,60,277,2.585,39.625
KJLE2EMYDDUKVC8X,1,1,0,0,0,0,1,1.0,0.0
KJLE4MNQBSFQVXKS,1,24,7,3,4,15,53,2.604,40.1
KJLE524QHPT4ZJS7,1,18,4,3,9,23,57,3.263,56.575
KJLE56GAZZMB6DN7,1,23,4,8,7,21,63,2.984,49.6
KJLE5QUGXZDTAC2G,1,2,0,1,4,5,12,3.833,70.825
KJLE6SR4V7GNHBEH,1,6,2,2,4,6,20,3.1,52.5
KJLE74UERWNQHMZD,1,0,0,0,1,2,3,4.667,91.675
KJLE7NK9YRHZ7WFR,1,4,2,0,2,6,14,3.286,57.15
KJLE8KXYKXAB2FAY,1,9,2,11,13,29,64,3.797,69.925
KJLE9ZY5NTWHRWBX,1,5,0,0,1,2,8,2.375,34.375
KJLEAEH4HYGW9UJX,1,20,2,3,5,4,34,2.147,28.675
KJLEAFF7GUHMQMWD,1,39,7,10,15,36,107,3.019,50.475
KJLEARCDRMG6C8JX,1,1,0,0,0,0,1,1.0,0.0
KJLEAWAKZQ8WCA87,1,0,0,1,0,0,1,3.0,50.0
KJLEBFYYVWQRM38Z,1,7,4,4,3,3,21,2.571,39.275
KJLEBZCDUY2MYHGE,1,47,11,11,14,24,107,2.598,39.95
KJLEC88G56FHUYRG,1,23,6,17,16,42,104,3.462,61.55
KJLEDQQ65MWSDWQG,1,36,4,4,17,35,96,3.115,52.875
KJLEE5UHAPEWHHZA,1,21,1,2,0,6,30,1.967,24.175
KJLEE5V3GQZRJWZA,1,2,0,0,0,0,2,1.0,0.0
KJLEEJZ3RVXHEYGK,1,15,0,0,7,9,31,2.839,45.975
KJLEEZH3Z2CYJGW7,1,11,5,9,12,28,65,3.631,65.775
KJLEFBHCJGYAAR3J,1,1,0,2,0,2,5,3.4,60.0
KJLEFDT2M77BTHFY,1,7,3,3,8,3,24,2.875,46.875
KJLEFRP4GYZFJJD8,1,3,2,2,1,3,11,2.909,47.725
KJLEFY9JFMPQ4SMU,1,3,2,0,4,6,15,3.533,63.325
KJLEG445EANMZQRU,1,19,2,0,1,1,23,1.391,9.775
KJLEG7PWVJ65BXCA,1,24,5,8,6,17,60,2.783,44.575
KJLEG8AU2VCFXYTU,1,22,1,0,1,3,27,1.593,14.825
KJLEG8AW7NT2JZYU,1,17,4,1,1,4,27,1.926,23.15
KJLEGE5SFMRMGCYQ,1,19,0,0,2,2,23,1.609,15.225
KJLEGQEAFFWA6D4H,1,1,1,0,4,7,13,4.154,78.85
KJLEGSFBB5QHYGZQ,1,23,0,1,1,3,28,1.607,15.175
KJLEGZBPYUHWWAVE,1,3,2,0,1,0,6,1.833,20.825
KJLEGZVRD9Q8Q5TY,1,76,20,41,19,61,217,2.857,46.425
KJLEHGRG8326XPG8,1,22,4,2,4,8,40,2.3,32.5
KJLEHHVGJQZTJGFV,1,9,0,1,1,4,15,2.4,35.0
KJLEHMKXXNSHZE8Z,1,3,0,0,0,4,7,3.286,57.15
KJLEHQ422PH93ZVH,1,6,3,4,17,16,46,3.739,68.475
KJLEHT8P4SYVX7ZB,1,23,0,0,0,4,27,1.593,14.825
KJLEHTHYZEVRMTAH,1,19,8,3,3,6,39,2.205,30.125
KJLEHWM3HFZ53VPD,1,41,8,8,7,7,71,2.028,25.7
KJLEHWN23YE6T5ZA,1,12,1,0,0,1,14,1.357,8.925
KJLEHYRUGWZFCREK,1,0,1,0,0,1,2,3.5,62.5
KJLEJAHCZ6FEZ8K4,1,10,6,9,9,14,48,3.229,55.725
KJLEJR2AFAHT8WZ3,1,10,0,5,10,19,44,3.636,65.9
KJLEK5V97DJTURR9,1,13,7,17,20,28,85,3.506,62.65
KJLEKHE3FTKJ8GVK,1,0,0,0,1,0,1,4.0,75.0
KJLEKHE3MDTWHQEU,1,0,0,1,0,0,1,3.0,50.0
MCRD96JBWPXDY93Z,1,18,5,14,13,27,77,3.338,58.45
MCRD96JBZGEUGGEU,1,2,0,0,3,1,6,3.167,54.175
MCRD9N8QHUQGED5C,1,4,1,6,13,19,43,3.977,74.425
MCRDAH3TSMY7Z5TR,1,8,4,7,4,19,42,3.524,63.1
MCRDAH3TWGQFGYAH,1,5,1,6,6,14,32,3.719,67.975
MCRDAWUJGNZJNYSA,1,4,2,1,0,1,8,2.0,25.0
MCRDCPTHQFVXYREC,1,4,1,0,1,7,13,3.462,61.55
MCRDE69CZZACKY4F,1,25,6,20,13,20,84,2.964,49.1
MCRDFNM4CFGH27UH,1,5,2,2,5,19,33,3.939,73.475
MCRE2PJ7JGWYFXGW,1,2,1,2,1,2,8,3.0,50.0
MCRE6WB2BA93XJWC,1,4,0,1,3,4,12,3.25,56.25
MCRE6WB2UG7XX42V,1,1,0,2,1,2,6,3.5,62.5
MCREDP7DYSR4CZYM,1,1,0,1,1,1,4,3.25,56.25
MCREE5SZCAACVXJE,1,2,0,0,0,1,3,2.333,33.325
MCREE9CQGPHG3MUX,1,3,0,0,0,1,4,2.0,25.0
MCREF7MGH6EUZWPB,1,5,1,2,1,2,11,2.455,36.375
MCREHKWH2FXDHHRG,1,8,0,4,10,11,33,3.485,62.125
MCREJPU62YFDYEH6,1,3,0,1,1,4,9,3.333,58.325
B0006LNC2G,1,4,1,1,2,2,10,2.7,42.5
B0015UPN5Q,1,17,1,2,3,11,34,2.706,42.65
B002Q67HRK,1,0,0,0,1,0,1,4.0,75.0
B002S8Z642,1,0,0,0,2,2,4,4.5,87.5
B0044WOFQK,1,15,4,8,11,32,70,3.586,64.65
B004DIUX16,1,0,1,1,1,1,4,3.5,62.5
B0050NUKQG,1,1,1,0,0,0,2,1.5,12.5
B005DP1YDE,1,1,0,1,4,8,14,4.286,82.15
B005JATI1S,1,0,1,1,2,1,5,3.6,65.0
B005LSZF0Q,1,0,0,0,1,0,1,4.0,75.0
B005QJ83OK,1,23,3,4,7,16,53,2.811,45.275
B006LX8GEC,1,305,79,65,95,135,679,2.523,38.075
B006LX8H6O,1,145,38,49,69,132,433,3.012,50.3
B006LXBFUO,1,1,0,1,2,1,5,3.4,60.0
B006LXBG8K,1,22,5,12,11,14,64,2.844,46.1
B006LXBJAU,1,0,0,0,3,5,8,4.625,90.625
B006LXBSYM,1,264,83,134,243,488,1212,3.502,62.55
B007448HKK,1,3,2,2,0,1,8,2.25,31.25
B0077HAPBI,1,9,4,3,6,15,37,3.378,59.45
B0078207LU,1,1,1,0,0,0,2,1.5,12.5
B00791CZXI,1,47,18,28,46,116,255,3.651,66.275
B0079Z0AMM,1,80,30,44,93,180,427,3.616,65.4
B0079Z44F6,1,3,1,3,9,10,26,3.846,71.15
B0079Z5URW,1,5,3,9,13,56,86,4.302,82.55
